"","Article.ID","Statement.ID","Stat.ID","Journal.ID","Reference","Link","Type.of.statistics","t","N1","N2","p","Page.number","Associated.statistics","Negative.statement","Category"
"162",124,1,1,1,"Vergauwe, E., & Cowan, N. (2015). Attending to items in working memory: evidence that refreshing and memory search are closely related. Psychonomic Bulletin & Review, 22(4), 10011006.","http://link.springer.com/article/10.3758/s13423-014-0755-6","Planned Comparision T-Test",NA,NA,NA,NA,"1004","Importantly, in line with our main prediction, recall performance was disrupted by the prolonged attentional capture induced by retrieval of knowledge from LTM (location vs. alphabet, .86 vs. .76), F(1, 29) = 11.69, p < .01, <U+03B7>p2 = .29, but not by prolonged attentional capture induced by memory search (location vs. memory, both .86), F < 1.","If memory search and refreshing both rely on retrieval from WM, then prolonged attentional capture caused by memory search should not lead to forgetting, because memory items are assumed to be reactivated during memory search, in the same way that they would be if that period of time were used for refreshing. Consistent with this idea, prolonged attentional capture had a disruptive effect when it was caused by the need to retrieve knowledge from long-term memory, but not when it was caused by the need to search through the content of WM. The present results support the idea that refreshing operates through a process of retrieval of information into the focus of attention.","Incorrect-frequentist  whole population"
"163",125,1,1,3,"Wakslak, C. J., & Kim, B. K. (2015). Controllable objects seem closer. Journal of Experimental Psychology: General, 144(3), 522.","http://psycnet.apa.org/index.cfm?fa=buy.optionToBuy&id=2015-18635-001","Regression",NA,NA,NA,"0.87","525","A similar regression exploring general desire for control as a moderator revealed only a main effect of control condition (B = -.36; SE = .18; r(232) = 2.06, p = .041), with no evidence of an interaction (p = .87).","We do not find that one’s desire for control moderates these effects (Study 4).","Incorrect-frequentist  whole population"
"164",126,1,1,2,"Wang, Z., Lukowski, S. L., Hart, S. A., Lyons, I. M., Thompson, L. A., Kovas, Y., … Petrill, S. A. (2015). Is math anxiety always bad for math learning? The role of math motivation. Psychological Science, 26(12), 18631876.","http://pss.sagepub.com/content/26/12/1863.abstract","Regression",NA,NA,NA,NA,"1870","Table 5. Results From Study 1: Math Anxiety and Math Motivation as Predictors of Math Performance on the Six Tasks","However, this pattern was not observed in tasks assessing participants’ nonsymbolic and symbolic number-estimation ability.","Correct-frequentist"
"165",127,1,1,1,"Weinbach, N., Shofty, I., Gabay, S., & Henik, A. (2015). Endogenous temporal and spatial orienting: Evidence for two distinct attentional mechanisms. Psychonomic Bulletin & Review, 22(4), 967973.","http://link.springer.com/article/10.3758/s13423-014-0750-y","ANOVA",NA,NA,NA,NA,"971","In contrast, the temporal validity effects at the long SOA were not significant in the spatial valid (7 ms) and invalid (1 ms) conditions; F(1, 39) =2.53, p = 0.11,<U+03B7>2p = 0.06, and F <1, respectively. More importantly, the spatial and temporal validity conditions at the long SOA did not interact, F < 1.","At a long cue-to-target delay, spatial validity effects were significant and were not modulated by temporal validity but there were no temporal validity effects.","Incorrect-frequentist  current sample"
"166",128,1,1,1,"Wesslein, A.-K., Spence, C., & Frings, C. (2015). You can’t ignore what you can’t separate: the effect of visually induced target-distractor separation on tactile selection. Psychonomic Bulletin & Review, 22(3), 728736.","http://link.springer.com/article/10.3758/s13423-014-0738-7","Post-hoc T-Test",NA,NA,NA,"0.415","732","Specifically, there was a significant response flanker effect in those conditions in which the barrier between the target and distractor hand was permeable (i.e., the no-occluder and the empty-frame conditions), t(35) =3.69, p=.001, d =0.61, while this effect was non-significant when an impermeable barrier was positioned between the target and distractor hand, t(35)=-0.83, p=.415, d=-0.14.","Surprisingly, an impermeable barrier prevented tactile distractors from being processed up to the response level, irrespective of whether the barrier was transparent or opaque.","Incorrect-frequentist  current sample"
"167",129,1,1,1,"Wiggett, A. J., & Tipper, S. P. (2015). Priming of hand and foot response: is spatial attention to the body site enough? Psychonomic Bulletin & Review, 22(6), 16781684. doi:10.3758/s13423-015-0823-6","http://link.springer.com/article/10.3758/s13423-015-0823-6","Post-hoc T-Test",NA,NA,NA,NA,"1681","There were no significant body part compatibility effects for unusual body postures.","The results suggest that spatial orienting to a body site is insufficient; rather we argue that it is only postures that are familiar and we are easily able to adopt that can be processed fluently and influence target discrimination.","Incorrect-frequentist  whole population"
"168",130,1,1,2,"Wilson, B. M., Mickes, L., Stolarz-Fantino, S., Evrard, M., & Fantino, E. (2015). Increased False-Memory Susceptibility After Mindfulness Meditation. Psychological Science, 26(10), 15671573. http://doi.org/10.1177/0956797615593705
","http://pss.sagepub.com/content/26/10/1567.abstract","Paired Samples T-Test","1.02",153,NA,"0.31","1568","The mean number of correctly recalled words did not significantly differ between the mindfulness condition, 7.02, 95% CI = [6.68, 7.37], and the mind-wandering condition, 6.75, 95% CI = [6.35, 7.15], t(152) = 1.02, p > .250.","The overall number of words from the Deese-Roediger-McDermott paradigm that were correctly recalled did not differ between conditions.","Incorrect-frequentist  current sample"
"169",130,1,2,2,"Wilson, B. M., Mickes, L., Stolarz-Fantino, S., Evrard, M., & Fantino, E. (2015). Increased False-Memory Susceptibility After Mindfulness Meditation. Psychological Science, 26(10), 15671573. http://doi.org/10.1177/0956797615593705
","http://pss.sagepub.com/content/26/10/1567.abstract","Independent Samples T-Test","0.66",68,72,"0.51","1569","The average proportion of words correctly recalled did not differ significantly between conditions (mindfulness: M = .46, 95% CI = [.44, .49]; mind-wandering: M = .45, 95% CI = [.43, .48]), t(138) = 0.66, p > .250, Cohen’s d<U+2009>= 0.11, 95% CI = [-0.22, 0.44].","The overall number of words from the Deese-Roediger-McDermott paradigm that were correctly recalled did not differ between conditions.","Incorrect-frequentist  current sample"
"170",131,1,1,3,"Woltin, K.-A., & Guinote, A. (2015). I can, I do, and so I like: From power to action and aesthetic preferences. Journal of Experimental Psychology: General, 144(6), 11241136. doi:10.1037/xge0000095","http://psycnet.apa.org/journals/xge/144/6/1124/","ANOVA",NA,NA,NA,NA,"1127","There were no effects for mood or taskdemands (Fs< 1, ps> .46)","This finding was not mediated by differences in mood, judgment certainty, perceived task-demands or task-enjoyment","Incorrect-frequentist  current sample"
"171",132,1,1,1,"Zweig, L. J., Suzuki, S., & Grabowecky, M. (2014). Learned facevoice pairings facilitate visual search. Psychonomic Bulletin & Review, 22(2), 429436. https://doi.org/10.3758/s13423-014-0685-3
","http://link.springer.com/article/10.3758/s13423-014-0685-3","Paired Samples T-Test","1.79",12,NA,"0.1","432","No significant differences in RTs between the reversed- voice and unlearned-voice conditions were observed [t(11) = 1.79, p = .10, d = 0.27], suggesting that features such as fundamental frequency or timbre did not produce a search advantage.","Only the congruent learned voice speeded visual search for the associated face.","Incorrect-frequentist  current sample"
"172",132,1,2,1,"Zweig, L. J., Suzuki, S., & Grabowecky, M. (2014). Learned facevoice pairings facilitate visual search. Psychonomic Bulletin & Review, 22(2), 429436. https://doi.org/10.3758/s13423-014-0685-3
","http://link.springer.com/article/10.3758/s13423-014-0685-3","Paired Samples T-Test","1.1",15,NA,"0.29","432","We observed no significant differences between unlearned- and reversed-voice trials [t(14) = 1.10, p = .29, d = 0.11], unlearned- and familiar-incongruent-voice trials [t(14) = 0.96, p = .35, d = 0.20], or reversed- and familiar-incongruent-voice trials [t(14) = 1.48, p = .16, d = 0.29].","Only the congruent learned voice speeded visual search for the associated face.","Incorrect-frequentist  current sample"
"173",132,1,3,1,"Zweig, L. J., Suzuki, S., & Grabowecky, M. (2014). Learned facevoice pairings facilitate visual search. Psychonomic Bulletin & Review, 22(2), 429436. https://doi.org/10.3758/s13423-014-0685-3
","http://link.springer.com/article/10.3758/s13423-014-0685-3","Paired Samples T-Test","0.96",15,NA,"0.35","433","We observed no significant differences between unlearned- and reversed-voice trials [t(14) = 1.10, p = .29, d = 0.11], unlearned- and familiar-incongruent-voice trials [t(14) = 0.96, p = .35, d = 0.20], or reversed- and familiar-incongruent-voice trials [t(14) = 1.48, p = .16, d = 0.29].","Only the congruent learned voice speeded visual search for the associated face.","Incorrect-frequentist  current sample"
"174",132,1,4,1,"Zweig, L. J., Suzuki, S., & Grabowecky, M. (2014). Learned facevoice pairings facilitate visual search. Psychonomic Bulletin & Review, 22(2), 429436. https://doi.org/10.3758/s13423-014-0685-3
","http://link.springer.com/article/10.3758/s13423-014-0685-3","Paired Samples T-Test","1.48",15,NA,"0.16","433","Additionally, RTs for congruent-learned trials were faster than those for familiar-incongruent trials [t(14) = 2.663, p = .02, d = 0.48]. We observed no significant differences between unlearned- and reversed-voice trials [t(14) = 1.10, p = .29, d = 0.11], unlearned- and familiar-incongruent-voice trials [t(14) = 0.96, p = .35, d = 0.20], or reversed- and familiar-incongruent-voice trials [t(14) = 1.48, p = .16, d = 0.29].","Only the congruent learned voice speeded visual search for the associated face.","Incorrect-frequentist  current sample"
"175",132,1,5,1,"Zweig, L. J., Suzuki, S., & Grabowecky, M. (2014). Learned facevoice pairings facilitate visual search. Psychonomic Bulletin & Review, 22(2), 429436. https://doi.org/10.3758/s13423-014-0685-3
","http://link.springer.com/article/10.3758/s13423-014-0685-3","Paired Samples T-Test","1.16",15,NA,"0.27","433","No significant differences in RTs between the no-auditory-cue and unlearned-voice conditions were observed [t(14) = 1.16, p = .27, d = 0.06], indicating that learned-congruent voices facilitate visual search beyond a visual-only baseline.","Only the congruent learned voice speeded visual search for the associated face.","Incorrect-frequentist  current sample"
